"qe25" "ko25" "kc25" "vcmx25" "ako" "akc" "avcmx" "bp" "mp" "drb" "drs" "ecp" "hv" "ocr" "sv" "wj1" "wj2" "rsmax0" "ppcd" "we1"
0.064 31200 33.6 31.9 1.18 2.12 2.45 6100 10.9 1.341 1.604 3.34 223200 0.371 679 4.5 8 32300 0.0003676 0.478
0.06 33200 27.8 46.9 1.28 2.27 2.4 9300 7 1.389 1.663 5.67 232600 0.595 653 1 2 27900 0.0003804 0.454
0.044 31000 38.2 54.4 1.29 1.99 2.32 5300 9.5 1.361 1.692 4.15 226000 0.29 658 4.5 8 25900 0.000369 0.453
0.06 40700 29.4 48.6 1.21 2.04 2.32 3900 8.8 1.333 1.669 3.7 226900 0.467 663 1 8 33400 0.0003907 0.468
0.041 37000 27.8 25.9 1.21 2.16 2.32 4700 7.8 1.351 1.672 4.2 229300 0.29 652 4.5 8 15100 0.0003777 0.495
0.078 30900 33.1 53.5 1.22 2.05 2.34 4200 8.4 1.393 1.634 5.14 230200 0.762 655 4.5 10.5 39600 0.000397 0.459
0.056 33300 47.7 61.8 1.22 2.28 2.45 6200 11.2 1.312 1.622 3.98 218200 0.479 673 4.5 2 11700 0.0003556 0.538
0.057 34500 33.9 41 1.24 2.3 2.29 1600 6.1 1.394 1.65 5.14 219600 0.255 701 1 8 30000 0.000398 0.51
0.047 31400 29.1 53.3 1.21 2.12 2.3 9200 4.9 1.393 1.697 3.54 234800 0.554 646 4 10.5 35700 0.0003935 0.519
0.042 34500 48.3 36.7 1.22 2.14 2.44 2400 10.2 1.302 1.61 4.48 230500 0.396 654 4 2 38100 0.0003666 0.537
0.063 44000 38 59.2 1.29 2.12 2.32 5100 6 1.302 1.689 3.79 228400 0.428 727 4.5 8 30700 0.0003608 0.544
0.045 38100 48.3 27.5 1.17 2.22 2.32 4900 11 1.386 1.644 5.5 219000 0.71 719 4.5 10.5 27800 0.000388 0.48
0.059 43100 45.2 53.9 1.1 1.96 2.54 3400 6 1.392 1.627 3.42 237800 0.494 680 4 8 30000 0.0003757 0.494
0.077 30000 35.8 39.2 1.21 2.04 2.36 3900 6.3 1.306 1.62 3.86 239900 0.443 683 4 10.5 34600 0.0003724 0.539
0.063 37500 39.2 20.8 1.26 2.1 2.49 6800 8.8 1.372 1.63 3.83 218800 0.552 724 1 8 30600 0.0003602 0.463
0.08 31300 46.7 56.5 1.15 1.94 2.33 10000 5.7 1.37 1.658 3.38 228600 0.304 722 4.5 10.5 14400 0.0003789 0.507
0.043 30300 49.5 39.2 1.13 2.21 2.39 3100 5.9 1.364 1.633 5.78 232100 0.49 670 4.5 10.5 19700 0.0003933 0.467
0.071 31900 40.4 22.1 1.16 2.19 2.38 1900 9.1 1.335 1.644 3.43 230700 0.384 671 1 10.5 27400 0.0003834 0.46
0.044 38500 33.3 53.1 1.13 2.09 2.54 9300 5.4 1.388 1.685 3.46 234000 0.31 645 4 10.5 18300 0.0003829 0.488
0.049 32300 28.5 56.3 1.26 2.11 2.37 7400 4.1 1.373 1.685 5.1 220800 0.425 674 1 8 28800 0.0003609 0.504
0.073 37600 27.7 39.7 1.1 2.1 2.35 2100 5.8 1.313 1.649 5.62 218700 0.44 727 1 8 35800 0.0003627 0.481
0.074 35300 48.4 28.7 1.2 2.13 2.31 5600 7.1 1.331 1.624 4.93 227000 0.223 717 4.5 10.5 38400 0.0003599 0.526
0.045 37300 32.9 51 1.3 1.93 2.44 8300 10 1.398 1.601 4.15 228200 0.267 660 4 2 38900 0.0003711 0.542
0.049 44400 34.7 56.8 1.21 2.04 2.31 5700 5.3 1.304 1.604 4.81 225600 0.303 708 1 2 10800 0.0003887 0.479
0.075 35200 26 21.7 1.15 2.14 2.34 2500 7.7 1.303 1.688 4.37 233300 0.305 651 1 10.5 14600 0.0003591 0.523
0.055 34000 45.8 23.4 1.11 2.14 2.23 2100 6.8 1.375 1.6 3.39 233400 0.495 727 4 8 20400 0.0003977 0.546
0.041 31300 40.9 52.7 1.11 2.02 2.21 9700 7.3 1.36 1.662 5.13 229800 0.209 708 4.5 2 13700 0.0003611 0.544
0.042 30300 40.2 38.3 1.16 1.92 2.29 2700 8.5 1.385 1.643 4.21 238800 0.477 693 1 8 16900 0.0003767 0.509
0.043 33400 26 27.8 1.25 2.22 2.56 9900 5.2 1.332 1.66 4.35 229400 0.201 642 4.5 8 20800 0.0003581 0.525
0.049 38100 48.7 43.3 1.12 1.91 2.36 1600 11 1.347 1.604 5 232800 0.317 689 4.5 8 12000 0.000357 0.479
0.064 34700 31.4 28.5 1.21 2.16 2.3 9900 4.2 1.355 1.654 4.75 229700 0.254 643 4 8 37800 0.0003639 0.484
0.08 32700 26.7 33.1 1.19 1.98 2.47 7300 6.4 1.373 1.65 5.48 225100 0.33 689 4.5 2 21400 0.0003805 0.488
0.042 41900 30.3 32.4 1.2 2.03 2.32 3000 8.2 1.318 1.618 5.76 221700 0.413 724 4 10.5 37100 0.0003552 0.511
0.064 38700 36.8 44.1 1.22 2.02 2.56 3700 8.1 1.39 1.678 3.84 240600 0.501 673 4.5 8 27800 0.0003745 0.544
0.05 38200 37.2 64.1 1.14 2.27 2.51 2200 7.2 1.398 1.61 4.9 233900 0.467 711 4.5 10.5 14700 0.0003768 0.477
0.06 41500 36 32.9 1.1 2.21 2.21 6800 11.5 1.34 1.603 4.03 240500 0.407 722 4.5 10.5 28100 0.0003592 0.476
0.046 41600 44.8 25 1.16 1.95 2.59 2700 5.8 1.342 1.637 4.96 220400 0.329 646 4 2 39900 0.0003771 0.491
0.051 44300 37.5 20.7 1.25 2.09 2.6 7600 9.1 1.322 1.661 4.33 230800 0.511 695 4.5 10.5 15600 0.000381 0.547
0.045 42800 33.8 44.2 1.11 1.95 2.51 1900 10.6 1.334 1.688 4.98 235600 0.269 706 4 2 29500 0.0003933 0.465
0.041 40900 37.1 42.2 1.25 2.1 2.51 2500 7.8 1.386 1.653 4.91 219900 0.22 652 4 10.5 35300 0.0003679 0.487
0.052 40100 31.2 28.3 1.24 2.23 2.35 2400 11 1.323 1.647 4.21 232200 0.657 688 1 8 19400 0.0003613 0.457
0.072 41100 37.8 26.6 1.24 1.92 2.53 3400 4.3 1.301 1.64 5.57 231000 0.249 696 4 2 39500 0.0003956 0.464
0.043 40400 46.4 61.8 1.11 2.29 2.31 2800 4.4 1.375 1.645 3.73 229600 0.755 673 4 10.5 11000 0.0003854 0.483
0.078 42300 27 61.4 1.3 2.22 2.56 7600 4.9 1.4 1.624 4.53 220300 0.577 642 1 2 21700 0.0003714 0.514
0.071 30100 41.7 42.2 1.18 2.15 2.47 5200 9.1 1.376 1.647 4.91 218900 0.232 721 4 8 30000 0.0003757 0.474
0.048 41000 46.2 43.2 1.11 2.15 2.3 8200 11.9 1.367 1.685 4.27 225000 0.718 715 4 8 31300 0.0003891 0.543
0.059 38900 43.3 53.5 1.25 2.06 2.48 8600 7.2 1.309 1.632 4.77 235300 0.673 723 1 8 12500 0.0003591 0.517
0.073 32200 33.2 62.3 1.23 2.05 2.43 5800 9.9 1.362 1.606 4.39 241400 0.492 662 4 2 28500 0.0003783 0.473
0.06 36800 38.3 54 1.27 2.18 2.44 6200 8.5 1.314 1.611 4.16 238500 0.202 728 4 8 19700 0.0003774 0.542
0.06 34500 37.6 25.4 1.3 2.17 2.33 6800 6.6 1.343 1.632 4.36 228200 0.218 702 4.5 2 10500 0.0003632 0.463
0.062 43900 34.2 53.2 1.15 2.28 2.49 1800 7.8 1.35 1.692 3.89 238700 0.755 686 4 8 20200 0.000395 0.495
0.078 40900 33.9 57.9 1.22 1.92 2.27 4200 9 1.342 1.698 3.5 233300 0.389 696 1 10.5 23100 0.0003642 0.493
0.074 44700 27.3 31.7 1.18 1.92 2.38 3400 10.4 1.301 1.625 4.23 220400 0.577 657 1 10.5 22800 0.0003809 0.462
0.064 31800 48.5 30.2 1.16 2.21 2.59 3400 12 1.349 1.614 5.75 226700 0.745 687 1 8 34300 0.0003707 0.533
0.067 44200 25.5 27.5 1.16 2.29 2.38 2000 7.9 1.306 1.611 4.91 238100 0.7 668 4.5 8 30300 0.0003677 0.451
0.054 32100 47.1 48.7 1.23 2.04 2.22 7600 4.3 1.337 1.625 5.02 227900 0.367 640 1 2 23400 0.0003695 0.493
0.057 31500 48.5 61.7 1.23 2.15 2.3 5900 4.5 1.372 1.62 3.41 239100 0.381 709 1 8 20700 0.000394 0.549
0.065 34000 38.7 29.7 1.26 2.25 2.24 1500 10 1.37 1.656 4.38 228300 0.472 702 1 8 17700 0.0003671 0.53
0.055 35600 37.6 32.6 1.25 2.18 2.21 9900 9.9 1.327 1.698 3.57 222800 0.365 696 4.5 10.5 24600 0.0003914 0.46
0.057 34100 37.2 40.7 1.15 1.95 2.32 1900 11.1 1.399 1.634 3.46 234600 0.453 710 4 8 17400 0.0003759 0.498
0.043 44800 30.7 55.5 1.19 2.04 2.23 7600 5.4 1.395 1.624 4.14 225600 0.677 651 1 2 30400 0.0003719 0.482
0.057 38300 40.9 48.6 1.17 2.12 2.48 5700 8.4 1.396 1.685 4.81 237700 0.516 722 4 10.5 23700 0.0003853 0.495
0.069 32400 30.3 24.8 1.29 1.93 2.24 4300 10.8 1.359 1.662 3.45 237300 0.476 658 4 10.5 16100 0.0003713 0.526
0.066 33100 35.4 61.5 1.23 2.25 2.32 3000 8.8 1.305 1.667 3.91 236000 0.374 712 4.5 2 17400 0.0003658 0.535
0.075 39700 47.3 57.2 1.24 2.24 2.51 8000 8.6 1.3 1.691 3.63 237600 0.543 714 4 10.5 31200 0.0003981 0.49
0.046 42600 30.5 62 1.29 2.18 2.25 8400 9.3 1.31 1.699 4.89 221600 0.766 705 4.5 8 22100 0.0003735 0.514
0.069 41900 41.7 25 1.11 2.15 2.52 9700 8.4 1.345 1.65 3.52 231000 0.517 679 1 10.5 29000 0.0003727 0.454
0.045 37100 31.6 58.1 1.11 2.1 2.44 3600 7.4 1.357 1.605 4.15 231600 0.51 705 4 2 29500 0.0003612 0.466
0.077 40700 35 22.2 1.12 1.91 2.26 2700 6.8 1.362 1.668 4.65 230400 0.607 674 4 10.5 23000 0.0003608 0.492
0.077 41400 38.2 46.3 1.17 1.96 2.43 4000 10.4 1.355 1.638 5.2 230300 0.666 693 1 10.5 12400 0.0003803 0.508
0.066 43200 29.6 41.4 1.18 2.29 2.38 8500 5.9 1.309 1.651 4.15 235500 0.292 688 4.5 8 10800 0.0003792 0.46
0.077 43800 45.3 49.1 1.14 2 2.54 9700 5 1.334 1.621 4.29 240000 0.481 672 4 10.5 27800 0.0003576 0.538
0.066 33000 32 29.8 1.12 2.28 2.26 7200 12 1.369 1.626 4.46 234400 0.409 673 1 2 22700 0.0003569 0.471
0.041 33500 32.5 21.8 1.27 1.92 2.35 9800 11.4 1.304 1.679 5.53 225400 0.517 677 1 2 23300 0.000383 0.455
0.064 40500 38.3 42.8 1.16 2.25 2.26 6800 8.9 1.397 1.691 4.54 235900 0.198 710 4.5 10.5 17200 0.0003741 0.468
0.071 31100 32.3 64.7 1.28 2.22 2.25 9900 4.6 1.343 1.7 4.1 218800 0.315 667 1 10.5 34000 0.0003847 0.542
0.078 31600 27.5 35.8 1.22 2.13 2.47 6200 6.1 1.364 1.638 5.18 234200 0.525 682 4.5 10.5 29100 0.0003627 0.517
0.045 42200 40.6 25.7 1.18 2.14 2.3 8900 9.4 1.339 1.638 4.88 237600 0.587 641 4 8 39900 0.0003631 0.5
0.063 43900 26.2 34.2 1.15 2.22 2.26 6900 5.8 1.329 1.644 5.78 239500 0.382 681 1 8 33200 0.0003822 0.501
0.053 42400 39.1 44.9 1.18 2.13 2.4 3600 11 1.377 1.666 3.67 225000 0.648 706 4 10.5 32900 0.0003925 0.536
0.052 42900 48.2 27.3 1.29 2.12 2.31 6100 8 1.324 1.63 4.76 224800 0.354 706 4 10.5 36000 0.0003829 0.55
0.062 40600 38.2 46 1.3 2.05 2.59 7100 11.6 1.392 1.602 5.56 218100 0.203 658 4.5 8 17000 0.0003784 0.549
0.067 30400 26.2 50.9 1.19 2.08 2.57 2100 11.1 1.361 1.656 3.82 241200 0.304 695 1 8 12800 0.0003608 0.514
0.053 33800 44.6 36.8 1.11 2.22 2.55 8200 11.5 1.311 1.7 5.11 236800 0.754 689 1 10.5 28900 0.0003592 0.506
0.053 33800 34.8 57.7 1.13 2.09 2.59 6400 9.7 1.376 1.694 5.31 240300 0.214 684 4.5 10.5 35700 0.000368 0.526
0.061 37200 45.3 21.5 1.25 1.95 2.39 8500 8 1.39 1.634 5.28 221800 0.57 667 4 10.5 35400 0.0003986 0.496
0.069 41300 41.8 60.3 1.11 1.92 2.55 6600 8.6 1.343 1.682 5.25 233700 0.742 712 1 8 25200 0.0003609 0.508
0.052 30600 30.3 64.9 1.19 2.14 2.41 4100 5.4 1.38 1.626 4.06 224100 0.198 643 4.5 10.5 33900 0.0003824 0.457
0.071 41500 42.8 29.4 1.2 2.22 2.43 1700 4.9 1.361 1.623 5.72 225700 0.372 653 4.5 10.5 36200 0.0003875 0.517
0.052 40700 46.6 49.2 1.15 1.96 2.44 1800 6.2 1.365 1.628 3.88 232100 0.438 681 1 8 19200 0.000359 0.55
0.052 42300 32.2 45.9 1.27 2.16 2.47 2300 8 1.311 1.694 5.65 237000 0.226 692 4.5 10.5 15600 0.0003806 0.461
0.077 39500 29.5 46.6 1.12 2.05 2.41 7200 8.1 1.368 1.672 4.84 240400 0.31 694 1 8 24300 0.0003991 0.471
0.078 41600 36.3 56.2 1.25 2.02 2.49 9300 4.4 1.376 1.674 5.09 241000 0.76 694 4.5 10.5 16700 0.0003676 0.493
0.072 32100 41.3 29.3 1.12 2.07 2.52 3000 5.3 1.346 1.66 4.49 229700 0.664 707 1 2 14900 0.0003919 0.505
0.058 44100 39.4 62.8 1.19 2.24 2.46 6600 11.2 1.35 1.672 4.94 222900 0.296 665 1 8 12400 0.0003879 0.504
0.049 32300 45.4 22.4 1.1 1.96 2.2 1800 5.9 1.365 1.653 3.39 239400 0.33 649 1 2 13700 0.0003617 0.453
0.05 30300 40.7 47.9 1.12 2.21 2.46 4400 8 1.399 1.685 3.97 231900 0.631 691 1 2 13700 0.0003627 0.469
0.076 40800 28.8 59.8 1.28 2.1 2.22 5400 9.5 1.312 1.629 5.26 240800 0.248 640 4.5 10.5 26800 0.0003731 0.455
0.046 38800 38.4 41 1.15 2.06 2.34 2700 10.8 1.346 1.694 4.15 240700 0.428 673 4 2 14900 0.000396 0.499
0.067 40800 37 22.1 1.24 2.01 2.48 2500 7 1.336 1.621 4.84 229100 0.635 657 4 2 25500 0.0003908 0.524
0.08 43100 44.3 26.9 1.22 1.98 2.39 3100 7.1 1.359 1.666 5.75 233100 0.29 651 4 2 19300 0.0003775 0.546
0.056 33900 44.8 36.9 1.24 2.13 2.22 5400 8.3 1.369 1.621 4.49 221400 0.455 703 1 10.5 29800 0.0003729 0.503
0.054 41200 42.2 54 1.28 2.01 2.41 8500 8.8 1.326 1.669 5.8 234800 0.441 703 4.5 2 12300 0.000373 0.509
0.054 39000 32.8 49.7 1.18 2.08 2.39 3000 6.1 1.31 1.64 3.36 231400 0.757 714 4 2 30600 0.0003678 0.474
0.065 35900 40.9 31.4 1.26 1.96 2.21 5100 7 1.4 1.662 5.65 230000 0.504 662 4 10.5 18200 0.0003748 0.522
0.041 35300 38.3 63.4 1.27 2.24 2.56 1600 7.9 1.324 1.602 3.35 229000 0.369 694 4.5 2 16600 0.0003989 0.469
0.055 32400 45.4 58 1.16 1.9 2.39 3100 7.2 1.366 1.634 4.74 218500 0.72 644 4 2 37200 0.0003929 0.541
0.05 41800 38.2 50 1.26 2.01 2.29 3600 5.4 1.344 1.619 5.59 226500 0.409 690 1 8 28900 0.0003666 0.532
0.069 42700 46.6 35.9 1.18 2.03 2.31 4100 5.3 1.4 1.624 5.63 240600 0.426 662 1 2 32500 0.0003588 0.464
0.048 32500 47.9 60.8 1.17 2.03 2.55 5500 10.4 1.309 1.642 5.73 239100 0.736 675 4.5 8 36200 0.0003997 0.516
0.078 43900 28.8 42.5 1.22 2.03 2.3 6300 11.2 1.332 1.66 5.47 235700 0.462 673 1 10.5 34900 0.0003903 0.545
