"lai" "lai0" "sai" "z0m" "dleaf" "rhol_vis" "rhol_nir" "rhos_vis" "rhos_nir" "taul_vis" "taul_nir" "taus_vis" "taus_nir" "xl" "fieldcap" "dewmx" "watertable" "soilcol" "wiltpt"
2.2 0.6 4 0.022 0.02 0.13 0.49 0.31 0.5 0.08 0.1 0.17 0.31 -0.12 0.8 0.06 -4.3 8 0.28
2.1 2.9 3.5 0.006 0.02 0.11 0.48 0.37 0.51 0.05 0.32 0.2 0.4 -0.29 0.96 0.14 -6.7 5 0.18
1.1 1 1.5 0.008 0.1 0.12 0.5 0.37 0.54 0.08 0.32 0.18 0.32 -0.27 0.46 0.06 -2.1 6 0.3
3.8 2 3.1 0.002 0.04 0.12 0.48 0.33 0.54 0.03 0.42 0.24 0.34 0.17 0.95 0.15 -7.8 7 0.12
3.6 0.9 1.7 0.005 0.15 0.08 0.36 0.37 0.56 0.07 0.42 0.16 0.36 0.37 0.74 0.1 -7.6 4 0.29
1.7 0.3 1.2 0.006 0.04 0.09 0.45 0.37 0.59 0.04 0.35 0.2 0.34 0.01 0.98 0.1 -6.7 4 0.1
3.1 2 0.5 0.006 0.12 0.13 0.4 0.36 0.57 0.08 0.31 0.15 0.33 -0.05 0.99 0.13 -7.8 5 0.23
3.4 2.2 0.6 0.004 0.08 0.08 0.45 0.3 0.54 0.04 0.3 0.17 0.33 -0.12 0.86 0.06 -2.3 6 0.28
2.4 2.3 1.8 0.011 0.03 0.12 0.45 0.38 0.56 0.02 0.19 0.16 0.36 -0.22 0.61 0.13 -5.6 2 0.14
1.4 2.3 1.1 0.004 0.06 0.11 0.51 0.39 0.56 0.08 0.42 0.17 0.38 0.38 0.62 0.15 -3.4 5 0.13
2.4 1.8 3.2 0.003 0.02 0.1 0.37 0.33 0.59 0.02 0.14 0.18 0.37 -0.11 0.95 0.09 -4.5 5 0.13
2.8 0.8 3.5 0.01 0.07 0.08 0.49 0.32 0.59 0.08 0.34 0.24 0.37 -0.24 0.48 0.07 -8.3 7 0.2
2 2.3 2.8 0.009 0.02 0.07 0.36 0.38 0.52 0.08 0.26 0.17 0.38 -0.03 0.36 0.14 -6.7 1 0.2
2.5 1.3 4 0.004 0.09 0.1 0.46 0.31 0.54 0.07 0.11 0.22 0.4 0.32 0.66 0.14 -5.8 4 0.26
2.5 0.5 3.7 0.005 0.1 0.08 0.5 0.31 0.58 0.01 0.21 0.25 0.33 0.02 0.65 0.1 -7.6 8 0.26
3.8 2.9 2.9 0.007 0.09 0.12 0.54 0.38 0.5 0.05 0.41 0.18 0.37 -0.2 0.75 0.15 -4.7 1 0.25
2.5 2.1 1.4 0.004 0.12 0.07 0.48 0.35 0.53 0.06 0.36 0.22 0.34 -0.14 0.49 0.08 -8.8 7 0.11
2.6 2 0.9 0.005 0.05 0.13 0.53 0.38 0.58 0.02 0.3 0.19 0.3 0.35 0.72 0.12 -8.4 6 0.25
1.6 1.5 2.5 0.006 0.11 0.09 0.53 0.37 0.58 0.07 0.18 0.24 0.35 -0.12 0.7 0.06 -3.3 6 0.1
1.6 1.6 3.4 0.006 0.15 0.11 0.36 0.38 0.57 0.06 0.43 0.2 0.34 -0.08 0.7 0.11 -7 2 0.13
2.7 2.9 1.4 0.005 0.09 0.09 0.46 0.39 0.57 0.08 0.29 0.16 0.37 -0.21 0.47 0.05 -7.7 5 0.21
3.7 2 3.5 0.013 0.15 0.06 0.49 0.39 0.53 0.05 0.1 0.21 0.31 -0.13 0.83 0.08 -7.4 6 0.13
2.3 0.1 2.4 0.004 0.04 0.11 0.5 0.31 0.52 0.02 0.2 0.24 0.4 -0.28 0.53 0.08 -9.6 4 0.14
2.5 2.5 1.6 0.005 0.1 0.1 0.54 0.36 0.54 0.07 0.44 0.19 0.3 -0.22 0.76 0.05 -1.8 5 0.13
2.9 1.1 1.5 0.012 0.14 0.09 0.42 0.33 0.5 0.02 0.27 0.21 0.32 -0.14 0.61 0.06 -7.4 4 0.16
1.5 2.9 2.7 0.012 0.04 0.09 0.49 0.35 0.59 0.05 0.17 0.16 0.39 0.2 0.49 0.12 -5.2 6 0.11
2.3 0.8 0.9 0.008 0.15 0.07 0.41 0.3 0.53 0.05 0.27 0.17 0.38 0.35 0.42 0.07 -9 1 0.14
4 2 2.5 0.003 0.14 0.07 0.51 0.3 0.59 0.04 0.35 0.2 0.36 0.16 0.96 0.14 -8.8 7 0.12
2.3 1 1.1 0.005 0.15 0.11 0.4 0.35 0.57 0.05 0.19 0.16 0.3 -0.04 0.66 0.07 -9.6 7 0.25
2.7 2 3.2 0.016 0.16 0.07 0.39 0.31 0.6 0.03 0.25 0.24 0.34 0.33 0.9 0.12 -1.2 2 0.2
3.5 1.9 2.4 0.007 0.12 0.1 0.48 0.35 0.5 0.09 0.22 0.18 0.31 -0.21 0.94 0.08 -6.3 8 0.27
2.8 0.7 2.7 0.009 0.12 0.06 0.35 0.37 0.54 0.04 0.25 0.18 0.36 -0.05 0.91 0.14 -3.3 4 0.17
1.1 1.5 3.9 0.004 0.15 0.11 0.55 0.31 0.59 0.05 0.42 0.25 0.33 -0.15 0.89 0.05 -2.9 3 0.24
1 1.2 1.9 0.003 0.09 0.08 0.53 0.31 0.59 0.08 0.32 0.2 0.36 -0.15 0.82 0.09 -7.6 4 0.12
2.5 0.2 1.7 0.003 0.04 0.11 0.36 0.34 0.53 0.07 0.34 0.16 0.4 0.28 0.61 0.13 -4.9 7 0.2
2 0.2 1 0.01 0.04 0.07 0.53 0.35 0.53 0.05 0.4 0.21 0.32 0.22 0.82 0.15 -3.1 3 0.11
1.9 1.7 3.9 0.011 0.1 0.09 0.49 0.31 0.58 0.03 0.19 0.23 0.34 -0.22 0.89 0.09 -4.3 4 0.29
3.2 2.7 1.2 0.004 0.12 0.12 0.47 0.38 0.58 0.06 0.16 0.23 0.34 0.04 0.32 0.08 -3.2 4 0.26
2.8 1.3 2.7 0.005 0.15 0.1 0.39 0.31 0.59 0.06 0.21 0.18 0.3 -0.18 0.66 0.07 -2.7 7 0.22
3 0.4 1.8 0.004 0.04 0.08 0.38 0.37 0.56 0.06 0.21 0.24 0.38 0.18 0.7 0.15 -3.2 2 0.21
3.2 1.7 0.8 0.01 0.11 0.07 0.5 0.37 0.59 0.08 0.37 0.23 0.33 0.37 0.85 0.11 -9.3 6 0.2
3.5 0.9 3.3 0.005 0.02 0.07 0.47 0.39 0.6 0.05 0.43 0.17 0.34 0.14 0.53 0.1 -3.1 6 0.26
3.3 2.5 3.9 0.007 0.02 0.11 0.51 0.38 0.53 0.04 0.24 0.19 0.38 -0.09 0.88 0.09 -9.4 2 0.24
2.2 2.8 1.3 0.018 0.13 0.09 0.53 0.4 0.58 0.07 0.29 0.22 0.39 0.12 0.76 0.11 -7.7 3 0.1
1.8 1.2 1.2 0.008 0.11 0.07 0.44 0.37 0.59 0.03 0.13 0.21 0.33 -0.06 0.55 0.14 -9.5 3 0.2
2.1 1 1.8 0.005 0.1 0.08 0.44 0.34 0.52 0.07 0.21 0.23 0.36 0.09 0.49 0.14 -5.8 1 0.16
3.5 0.2 2.6 0.02 0.03 0.11 0.39 0.36 0.52 0.02 0.11 0.18 0.37 0.29 0.49 0.12 -3 1 0.1
1.8 2.7 1.6 0.013 0.1 0.1 0.5 0.36 0.59 0.07 0.29 0.22 0.4 -0.03 0.39 0.06 -5.8 6 0.21
2.9 0.7 2 0.004 0.1 0.11 0.39 0.35 0.5 0.07 0.41 0.21 0.31 -0.23 0.89 0.14 -4.6 2 0.13
3.3 0.2 3.7 0.004 0.02 0.1 0.42 0.36 0.51 0.03 0.34 0.23 0.33 0.29 0.37 0.13 -4.1 6 0.22
3.7 0.1 2.1 0.006 0.15 0.09 0.44 0.39 0.52 0.01 0.24 0.22 0.4 -0.29 0.62 0.06 -6.8 5 0.3
1.3 3 2.6 0.007 0.02 0.12 0.39 0.39 0.52 0.02 0.3 0.17 0.31 0.09 0.59 0.14 -1.3 5 0.15
2.4 0.4 3.7 0.01 0.03 0.09 0.39 0.33 0.6 0.01 0.35 0.23 0.36 0.32 0.51 0.12 -7.9 6 0.13
2.5 2.9 0.6 0.005 0.11 0.09 0.49 0.37 0.6 0.07 0.21 0.16 0.32 -0.02 0.9 0.1 -9 5 0.11
2.7 3 2.3 0.005 0.01 0.13 0.55 0.3 0.58 0.06 0.13 0.16 0.31 -0.02 0.69 0.11 -2.7 7 0.1
3.5 1.9 1.8 0.007 0.02 0.12 0.38 0.35 0.53 0.02 0.27 0.23 0.32 0.21 0.86 0.14 -2.2 5 0.19
1.5 0.1 2.2 0.004 0.14 0.1 0.39 0.35 0.59 0.04 0.18 0.21 0.34 0.17 0.61 0.09 -2.6 4 0.22
2.4 1.6 2 0.002 0.16 0.12 0.5 0.39 0.5 0.04 0.16 0.25 0.35 -0.11 0.96 0.13 -5.7 4 0.26
2.3 0.4 0.5 0.007 0.03 0.11 0.55 0.35 0.55 0.06 0.19 0.24 0.34 -0.18 0.93 0.12 -4 3 0.11
2.1 0.8 3.9 0.004 0.03 0.06 0.52 0.31 0.56 0.02 0.31 0.21 0.32 0.29 0.54 0.1 -8 7 0.26
2.8 0.8 1.1 0.009 0.12 0.07 0.46 0.32 0.57 0.06 0.28 0.21 0.38 -0.13 0.59 0.07 -1.4 4 0.2
3.2 1.1 1 0.015 0.11 0.09 0.44 0.39 0.5 0.07 0.42 0.21 0.3 -0.1 0.76 0.12 -8.6 5 0.2
1.1 2.6 1.7 0.005 0.07 0.09 0.37 0.39 0.55 0.08 0.38 0.21 0.33 0.38 0.65 0.08 -8.7 5 0.25
1.6 1.1 1.8 0.004 0.04 0.08 0.42 0.33 0.52 0.05 0.23 0.18 0.34 0.07 0.48 0.11 -4 1 0.22
2.3 2.7 1.6 0.004 0.14 0.09 0.36 0.34 0.58 0.05 0.43 0.2 0.34 -0.13 0.78 0.07 -4.4 6 0.24
2.1 2.5 1.8 0.004 0.12 0.09 0.48 0.35 0.57 0.05 0.3 0.19 0.3 -0.16 0.92 0.14 -1.2 5 0.19
2.3 1.2 1.2 0.003 0.04 0.07 0.51 0.31 0.53 0.09 0.34 0.19 0.31 -0.14 0.69 0.14 -4.3 2 0.16
3 0.9 0.7 0.003 0.15 0.07 0.41 0.34 0.59 0.07 0.43 0.17 0.32 0.23 0.76 0.09 -8.4 5 0.22
1.8 0.4 1.4 0.008 0.08 0.09 0.35 0.31 0.58 0.01 0.34 0.2 0.38 0.12 0.67 0.14 -6 2 0.11
2.1 0.9 3.3 0.009 0.05 0.08 0.39 0.4 0.59 0.03 0.35 0.19 0.39 0.07 0.52 0.11 -3.1 7 0.26
1.4 1.6 1.1 0.009 0.06 0.09 0.37 0.3 0.54 0.03 0.28 0.2 0.38 0.15 0.71 0.09 -2.7 8 0.28
2.1 1.1 1.3 0.003 0.02 0.12 0.53 0.38 0.6 0.02 0.39 0.16 0.33 0.09 0.92 0.09 -1 1 0.21
3.7 0.8 0.5 0.013 0.09 0.07 0.4 0.4 0.54 0.05 0.31 0.21 0.38 -0.07 0.39 0.1 -7.2 4 0.11
2.8 2.2 3.4 0.004 0.01 0.08 0.48 0.36 0.58 0.07 0.33 0.18 0.36 0.13 0.93 0.07 -9.1 5 0.16
2.7 0.9 3 0.009 0.1 0.13 0.51 0.38 0.58 0.07 0.22 0.19 0.37 -0.05 0.64 0.07 -1.5 2 0.15
3.9 1.9 2.9 0.01 0.05 0.11 0.48 0.39 0.56 0.05 0.39 0.2 0.31 -0.07 0.47 0.08 -9.6 5 0.14
2.8 1.4 2 0.003 0.15 0.07 0.36 0.38 0.55 0.02 0.2 0.21 0.33 0.25 0.99 0.05 -7.4 3 0.27
3 0.7 3.3 0.013 0.09 0.12 0.42 0.39 0.57 0.03 0.37 0.18 0.34 -0.11 0.9 0.08 -4.1 3 0.19
3.3 1.4 1.4 0.004 0.12 0.08 0.45 0.31 0.59 0.07 0.44 0.18 0.39 0.25 0.33 0.13 -2.4 4 0.2
3.1 2.4 0.8 0.005 0.11 0.11 0.53 0.36 0.54 0.05 0.29 0.17 0.35 -0.24 0.7 0.12 -8.7 2 0.25
1.8 1.9 3 0.005 0.05 0.08 0.37 0.33 0.58 0.04 0.22 0.17 0.33 -0.22 0.55 0.13 -9.5 6 0.26
1.5 2.4 0.6 0.014 0.04 0.12 0.43 0.36 0.54 0.02 0.15 0.25 0.35 -0.1 0.89 0.05 -5.4 4 0.2
1.7 1 1.2 0.003 0.1 0.08 0.49 0.39 0.51 0.08 0.4 0.17 0.35 0.09 0.86 0.09 -2.1 3 0.29
3.7 0.1 3.6 0.01 0.11 0.13 0.39 0.31 0.6 0.05 0.21 0.18 0.35 0.12 0.53 0.13 -2.8 3 0.28
2.2 1.5 2.7 0.004 0.1 0.09 0.41 0.37 0.55 0.07 0.13 0.16 0.3 0.19 0.32 0.12 -2.3 4 0.12
3.8 1.6 3.8 0.003 0.01 0.07 0.42 0.39 0.53 0.05 0.13 0.22 0.3 0.35 0.46 0.06 -8.3 4 0.17
3.3 1.6 1.9 0.003 0.12 0.09 0.52 0.39 0.52 0.08 0.37 0.2 0.37 0.36 0.43 0.06 -2.9 6 0.13
4 1.1 3 0.006 0.06 0.06 0.46 0.3 0.6 0.06 0.25 0.15 0.37 0.1 0.73 0.11 -4.4 2 0.12
2.2 1 1.3 0.018 0.02 0.07 0.45 0.4 0.53 0.08 0.44 0.18 0.38 0.04 0.66 0.05 -9 6 0.11
4 1.5 1.7 0.005 0.13 0.1 0.43 0.34 0.57 0.09 0.44 0.25 0.33 0.24 0.49 0.12 -3.1 3 0.16
3.8 1.5 1.7 0.007 0.08 0.11 0.46 0.33 0.57 0.04 0.2 0.24 0.34 0.2 0.94 0.06 -1.2 4 0.12
2 0.9 0.8 0.006 0.01 0.11 0.55 0.39 0.53 0.07 0.15 0.2 0.37 -0.16 0.94 0.09 -2.3 8 0.21
1.9 1.2 3.3 0.009 0.13 0.06 0.44 0.3 0.58 0.04 0.2 0.2 0.35 0.03 0.58 0.08 -9.5 6 0.1
1.2 0.5 2 0.008 0.04 0.09 0.41 0.37 0.53 0.04 0.35 0.19 0.38 0.23 0.98 0.08 -2.5 7 0.19
2.2 1.7 3.5 0.004 0.05 0.08 0.5 0.4 0.58 0.04 0.37 0.24 0.37 0.33 0.89 0.09 -1.6 5 0.27
1.7 1.3 1.3 0.006 0.02 0.1 0.48 0.31 0.59 0.01 0.42 0.22 0.34 0.16 0.8 0.13 -8.2 5 0.28
1.4 0.8 0.8 0.006 0.05 0.12 0.35 0.39 0.59 0.06 0.13 0.19 0.33 0.05 0.75 0.11 -7 6 0.11
1.5 3 3.4 0.008 0.02 0.06 0.45 0.38 0.56 0.08 0.45 0.17 0.36 0.21 0.36 0.08 -5.5 7 0.27
2.3 1.6 2.3 0.015 0.05 0.1 0.5 0.31 0.6 0.04 0.37 0.2 0.3 -0.11 0.44 0.1 -8.9 5 0.24
3.2 0.4 3.6 0.006 0.02 0.1 0.38 0.34 0.55 0.03 0.11 0.21 0.35 0.01 0.42 0.13 -5.1 4 0.14
2.9 3 3.7 0.006 0.12 0.12 0.38 0.36 0.59 0.07 0.16 0.16 0.31 -0.29 0.93 0.06 -1.3 2 0.18
1.8 2 1.1 0.005 0.11 0.09 0.43 0.34 0.54 0.06 0.37 0.24 0.36 0.12 0.4 0.07 -5.5 5 0.21
1.8 0.2 1.3 0.006 0.06 0.1 0.54 0.34 0.52 0.04 0.17 0.18 0.36 -0.24 0.71 0.13 -4.3 8 0.15
2.2 2.4 3.5 0.004 0.02 0.08 0.51 0.39 0.51 0.05 0.41 0.23 0.37 -0.2 0.76 0.06 -5 7 0.11
3.8 1.4 0.8 0.014 0.1 0.11 0.38 0.35 0.54 0.08 0.45 0.16 0.31 0.04 0.38 0.12 -4.6 3 0.21
3 2.1 1.7 0.015 0.04 0.07 0.39 0.32 0.51 0.07 0.29 0.15 0.36 0.11 0.81 0.12 -9.4 2 0.26
2 2.2 0.5 0.003 0.05 0.07 0.45 0.37 0.51 0.07 0.21 0.23 0.38 0.32 0.97 0.1 -7.4 2 0.26
3.4 0.9 2.2 0.005 0.14 0.06 0.39 0.39 0.51 0.06 0.16 0.16 0.37 0.11 0.41 0.12 -4.4 2 0.13
3.6 1.3 2.5 0.02 0.05 0.06 0.41 0.31 0.52 0.05 0.2 0.24 0.32 0.39 0.59 0.06 -3.6 7 0.24
1.9 2.5 2 0.006 0.09 0.09 0.45 0.33 0.5 0.04 0.34 0.17 0.38 0.38 0.6 0.06 -7.3 6 0.12
2.2 2.7 2.6 0.006 0.15 0.11 0.5 0.4 0.55 0.01 0.32 0.25 0.4 0.38 0.63 0.11 -8.4 6 0.11
3 2.3 2.6 0.007 0.09 0.07 0.49 0.36 0.51 0.06 0.1 0.17 0.34 0.09 0.62 0.11 -1.6 8 0.17
2.3 1.3 2.9 0.006 0.06 0.1 0.52 0.33 0.58 0.06 0.25 0.19 0.39 0.15 0.48 0.08 -4.4 4 0.17
1.3 2.3 3.8 0.004 0.11 0.09 0.42 0.4 0.51 0.08 0.35 0.21 0.31 -0.18 0.65 0.14 -8.6 7 0.24
1.4 0.4 0.8 0.004 0.15 0.09 0.39 0.32 0.58 0.06 0.25 0.17 0.38 0.21 0.47 0.1 -3.1 7 0.18
2.8 2.1 1.7 0.005 0.07 0.07 0.52 0.38 0.5 0.02 0.13 0.22 0.32 0.2 0.41 0.12 -1.5 2 0.18
